transaction_id,user_id,amount,currency,transaction_date,status,merchant
13632577-63ea-4c5e-b612-a17c45346b8d,8166,1970.78,EUR,2023-01-24 07:00:03.000000,pending,merchant_94
63c4d20c-dd70-46ff-a008-fe6a61eecae1,1238,9697.72,EUR,2023-06-19 10:07:13.000000,failed,merchant_66
36d91dc9-8258-4ce1-8f39-018a24da36f2,6982,7520.25,RUB,2023-11-19 09:30:19.000000,failed,merchant_9
ff1b0260-bdd2-41d9-8cd2-abdbdf5646e5,8716,1458.74,RUB,2023-06-07 09:46:58.000000,pending,merchant_5
712fa901-89e0-4af3-9384-f9af03e0750b,8893,7016.41,EUR,2023-06-05 08:46:52.000000,pending,merchant_11
3a618ae0-1bf2-4da6-aee1-6d8bad4fb7b9,8395,1996.5,EUR,2023-04-10 17:55:49.000000,failed,merchant_79
628290b3-b24f-48ad-859c-92f6ccc07dfa,2075,1761.45,EUR,2023-02-09 23:05:19.000000,failed,merchant_38
513eaed6-3f3a-4186-af44-34442ced97e0,2628,8441.99,EUR,2023-08-13 22:14:26.000000,pending,merchant_38
64e57922-7b26-42ed-b27c-c473ba80ddba,6399,7879.33,RUB,2023-07-08 19:54:36.000000,completed,merchant_6
dd363fbb-c4ca-4711-81cf-192be15ec3e4,7178,650.85,RUB,2023-03-02 14:31:26.000000,completed,merchant_14
51dcdec3-239f-44c5-a5f7-91f3cf9658bc,2976,7932.08,EUR,2023-08-18 13:36:36.000000,completed,merchant_37
e370cfb1-ee8d-48e2-b18b-c476376beb55,8247,786.42,RUB,2023-04-22 22:14:24.000000,failed,merchant_8
4020a3b5-dad2-4c15-a803-b6fd4f91af09,1438,7498.59,EUR,2023-12-15 02:13:36.000000,pending,merchant_3
2b05ff16-bc6c-4263-a8de-47c0bac374ef,7542,7407.49,USD,2023-12-21 20:49:39.000000,completed,merchant_84
d120fc78-1567-449f-aa8e-8d3754b71bf7,1899,2417.6,EUR,2023-07-03 05:45:13.000000,failed,merchant_42
6c85b322-e404-4da9-a3f7-58b938c748ae,9260,8177.01,USD,2023-10-24 12:38:07.000000,pending,merchant_36
eba284cb-49f3-4d25-a6c6-ab89e73410fe,3621,3720.89,RUB,2023-01-28 17:07:56.000000,pending,merchant_77
67be2eb3-c984-4084-b487-2f962fa5c1b3,5772,4118.55,RUB,2023-09-08 02:24:07.000000,failed,merchant_13
d44a6bd3-6215-46ab-965c-0fd30d6b0551,8572,5128.79,RUB,2023-04-25 03:50:02.000000,completed,merchant_72
5beb0b6f-cb97-4411-9ff3-e3e1a53d503a,9023,8698.78,RUB,2023-06-05 23:53:11.000000,pending,merchant_75
b0c8cba5-c7cb-43cb-9ece-5a8854ef5904,7178,7412.49,USD,2023-07-12 00:06:30.000000,failed,merchant_36
